ID	Label	Type	Parent	Definition	aiActArticle
:AI_System	AI System	class	owl:Thing	"Machine-based system that generates predictions, recommendations or decisions influencing environments."	Art.3
:Actor	Actor	class	owl:Thing	"Entity involved in development, deployment, distribution or governance of AI systems."	
:Obligation	Regulatory Obligation	class	owl:Thing	Requirement imposed by the EU AI Act on actors or AI systems.	
:Governance	Governance Authority	class	owl:Thing	Institution responsible for oversight and enforcement of the EU AI Act.	
					
:Prohibited_AI_Practice	Prohibited AI Practice	class	:AI_System	AI practice prohibited under the EU AI Act due to unacceptable risk.	Art.5
:High_Risk_AI_System	High Risk AI System	class	:AI_System	AI system classified as high risk due to potential impact on safety or fundamental rights.	Art.6
:Certain_AI_System	Certain AI System	class	:AI_System	AI systems subject to transparency obligations.	Art.50
:General_Purpose_AI_Model	General Purpose AI Model	class	:AI_System	AI model capable of performing multiple tasks and integrated into different systems.	Art.52
					
:Provider	Provider	class	:Actor	Actor that develops or places AI systems on the EU market.	Art.3(3)
:Deployer	Deployer	class	:Actor	Actor that deploys or uses an AI system.	Art.3(4)
:Distributor	Distributor	class	:Actor	Actor distributing AI systems within the supply chain.	Art.3(7)
:Importer	Importer	class	:Actor	Actor importing AI systems from outside the EU market.	Art.3(6)
:Authority	Authority	class	:Actor	Public authority responsible for AI regulation or enforcement.	
					
:AI_Office	AI Office	class	:Authority	EU authority responsible for oversight of general-purpose AI models.	Art.64
:European_AI_Board	European Artificial Intelligence Board	class	:Authority	European board coordinating implementation of the EU AI Act.	Art.65
:Market_Surveillance_Authority	Market Surveillance Authority	class	:Authority	Authority responsible for monitoring compliance of AI systems.	
:National_Competent_Authority	National Competent Authority	class	:Authority	Member state authority responsible for implementing AI Act rules.	
:Notified_Body	Notified Body	class	:Authority	Independent body responsible for conformity assessment of AI systems.	
					
:Risk_Management_Obligation	Risk Management Obligation	class	:Obligation	Requirement to implement a risk management system for high-risk AI systems.	Art.9
:Data_Governance_Obligation	Data Governance Obligation	class	:Obligation	Requirement ensuring quality and governance of training datasets.	Art.10
:Technical_Documentation_Obligation	Technical Documentation Obligation	class	:Obligation	Requirement to maintain technical documentation of AI systems.	Art.11
:Transparency_Obligation	Transparency Obligation	class	:Obligation	Requirement to inform users that they interact with AI.	Art.13
:Human_Oversight_Obligation	Human Oversight Obligation	class	:Obligation	Requirement ensuring effective human supervision of AI systems.	Art.14
:Accuracy_Robustness_Cybersecurity_Obligation	Accuracy Robustness Cybersecurity Obligation	class	:Obligation	"Requirement ensuring AI systems are robust, accurate and secure."	Art.15
:Conformity_Assessment_Obligation	Conformity Assessment Obligation	class	:Obligation	Requirement to conduct conformity assessment before market placement.	Art.43
:Post_Market_Monitoring_Obligation	Post Market Monitoring Obligation	class	:Obligation	Requirement to monitor AI system performance after deployment.	
:AI_Literacy_Obligation	AI Literacy Obligation	class	:Obligation	Requirement to ensure adequate AI literacy among users.	Art.4
